run_id,key,value,step,timestamp
circle loss,validation loss,10.493759057738565,49,1751228155739
circle loss,validation loss,12.695590561086481,50,1751228276238
circle loss,validation loss,13.63967793638056,51,1751228389010
circle loss,validation loss,9.546882044185292,52,1751228504666
circle loss,validation loss,10.819109244780106,53,1751228631159
circle loss,validation loss,10.103260831399398,54,1751228762896
circle loss,validation loss,9.594939004291188,55,1751228888615
circle loss,validation loss,7.770784876563332,56,1751229015200
circle loss,validation loss,7.863031636584889,57,1751229154193
circle loss,validation loss,7.108562296087092,58,1751229288940
circle loss,validation loss,5.680015981197357,59,1751229413729
circle loss,accuracy,0.6148359486447932,0,1751221844282
circle loss,accuracy,0.651925820256776,1,1751221974298
circle loss,accuracy,0.6747503566333809,2,1751222107852
circle loss,accuracy,0.7004279600570613,3,1751222242684
circle loss,accuracy,0.738944365192582,4,1751222375223
circle loss,accuracy,0.7432239657631954,5,1751222502351
circle loss,accuracy,0.7446504992867332,6,1751222631387
circle loss,accuracy,0.7746077032810271,7,1751222760614
circle loss,accuracy,0.7860199714693296,8,1751222928873
circle loss,accuracy,0.797432239657632,9,1751223059464
circle loss,accuracy,0.8017118402282454,10,1751223185006
circle loss,accuracy,0.7788873038516405,11,1751223311861
circle loss,accuracy,0.8345221112696148,12,1751223439217
circle loss,accuracy,0.8174037089871612,13,1751223564528
circle loss,accuracy,0.8288159771754636,14,1751223690017
circle loss,accuracy,0.818830242510699,15,1751223829960
circle loss,accuracy,0.8530670470756063,16,1751223980413
circle loss,accuracy,0.8830242510699001,17,1751224103015
circle loss,accuracy,0.8801711840228246,18,1751224228293
circle loss,accuracy,0.884450784593438,19,1751224355128
circle loss,accuracy,0.8758915834522111,20,1751224485097
circle loss,accuracy,0.9001426533523538,21,1751224638626
circle loss,accuracy,0.905848787446505,22,1751224810483
circle loss,accuracy,0.912981455064194,23,1751224998846
circle loss,accuracy,0.920114122681883,24,1751225162729
circle loss,accuracy,0.9343794579172611,25,1751225283866
circle loss,accuracy,0.9315263908701854,26,1751225403583
circle loss,accuracy,0.9443651925820257,27,1751225531523
circle loss,accuracy,0.9429386590584878,28,1751225660293
circle loss,accuracy,0.9500713266761769,29,1751225793130
circle loss,accuracy,0.9657631954350927,30,1751225925590
circle loss,accuracy,0.9657631954350927,31,1751226059561
circle loss,accuracy,0.9800285306704708,32,1751226187260
circle loss,accuracy,0.9657631954350927,33,1751226307837
circle loss,accuracy,0.9728958630527818,34,1751226422744
circle loss,accuracy,0.9814550641940085,35,1751226536500
circle loss,accuracy,0.9828815977175464,36,1751226653442
circle loss,accuracy,0.985734664764622,37,1751226768417
circle loss,accuracy,0.9871611982881597,38,1751226882324
circle loss,accuracy,0.9871611982881597,39,1751226997386
circle loss,accuracy,0.9885877318116976,40,1751227112625
circle loss,accuracy,0.9871611982881597,41,1751227229452
circle loss,accuracy,0.9971469329529244,42,1751227345097
circle loss,accuracy,0.9914407988587732,43,1751227466387
circle loss,accuracy,0.9942938659058488,44,1751227582272
